"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0211237F";"Université";"MCF";85;"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";9
"0211237F";"Université";"MCF";86;"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";6
"0211237F";"Université";"MCF";87;"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";6
"0211237F";"Université";"PR";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";11
"0211237F";"Université";"PR";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";8
"0211237F";"Université";"PR";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";4
"0211237F";"Université";"PR";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";1
"0211237F";"Université";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";5
"0211237F";"Université";"PR";6;"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";10
"0211237F";"Université";"PR";7;"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";1
"0211237F";"Université";"PR";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";3
"0211237F";"Université";"PR";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";4
"0211237F";"Université";"PR";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";1
"0211237F";"Université";"PR";11;"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";7
"0211237F";"Université";"PR";12;"12-Etudes germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";3
"0211237F";"Université";"PR";14;"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";4
"0211237F";"Université";"PR";16;"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";11
"0211237F";"Université";"PR";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";4
"0211237F";"Université";"PR";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";3
"0211237F";"Université";"PR";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";2
"0211237F";"Université";"PR";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";6
"0211237F";"Université";"PR";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";5
"0211237F";"Université";"PR";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";5
"0211237F";"Université";"PR";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";10
"0211237F";"Université";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";8
"0211237F";"Université";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";14
"0211237F";"Université";"PR";28;"28-Milieux denses et matériaux";"Physique";"Sciences";8
"0211237F";"Université";"PR";29;"29-Constituants élémentaires";"Physique";"Sciences";1
"0211237F";"Université";"PR";30;"30-Milieux dilués et optique";"Physique";"Sciences";9
"0211237F";"Université";"PR";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";9
"0211237F";"Université";"PR";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";9
"0211237F";"Université";"PR";33;"33-Chimie des matériaux";"Chimie";"Sciences";4
"0211237F";"Université";"PR";35;"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";1
"0211237F";"Université";"PR";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";6
"0211237F";"Université";"PR";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";3
"0211237F";"Université";"PR";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";4
"0211237F";"Université";"PR";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";3
"0211237F";"Université";"PR";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";6
"0211237F";"Université";"PR";46;"46-Santé publique, environnement et société";"Médecine";"Médecine";4
"0211237F";"Université";"PR";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";11
"0211237F";"Université";"PR";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";8
"0211237F";"Université";"PR";49;"49-Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation";"Médecine";"Médecine";7
"0211237F";"Université";"PR";50;"50-Pathologie ostéo-articulaire, dermatologie et chirurgie plastique";"Médecine";"Médecine";4
"0211237F";"Université";"PR";51;"51-Pathologie cardiorespiratoire et vasculaire";"Médecine";"Médecine";8
"0211237F";"Université";"PR";52;"52-Maladies des appareils digestif et urinaire";"Médecine";"Médecine";4
"0211237F";"Université";"PR";53;"53-Médecine interne, gériatrie et chirurgie générale";"Médecine";"Médecine";7
"0211237F";"Université";"PR";54;"54-Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction";"Médecine";"Médecine";8
"0211237F";"Université";"PR";55;"55-Pathologie de la tête et du cou";"Médecine";"Médecine";4
"0211237F";"Université";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";7
"0211237F";"Université";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";13
"0211237F";"Université";"PR";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";3
"0211237F";"Université";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";4
"0211237F";"Université";"PR";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";7
"0211237F";"Université";"PR";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";3
"0211237F";"Université";"PR";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";9
"0211237F";"Université";"PR";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";5
"0211237F";"Université";"PR";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";4
"0211237F";"Université";"PR";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";2
"0211237F";"Université";"PR";70;"70-Sciences de l'éducation et de la formation";"Pluridisciplinaire";"Lettres et sciences humaines";4
"0211237F";"Université";"PR";71;"71-Sciences de l'information et de la communication";"Pluridisciplinaire";"Lettres et sciences humaines";4
"0211237F";"Université";"PR";74;"74-Sciences et techniques des activités physiques et sportives";"Pluridisciplinaire";"Lettres et sciences humaines";7
"0211237F";"Université";"PR";82;"82-Sciences biologiques, fondamentales et cliniques";"Pharmacie(bi-appartenants)";"Pharmacie";2
"0211237F";"Université";"PR";85;"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";2
"0211237F";"Université";"PR";86;"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";4
"0211237F";"Université";"PR";87;"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";2
"0212198A";"Grand établissement";"MCF";16;"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";1
"0212198A";"Grand établissement";"MCF";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";5
"0212198A";"Grand établissement";"MCF";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";6
"0212198A";"Grand établissement";"MCF";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";2
"0212198A";"Grand établissement";"MCF";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";1
"0212198A";"Grand établissement";"MCF";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";1
"0212198A";"Grand établissement";"PR";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";4
"0212198A";"Grand établissement";"PR";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";3
"0212198A";"Grand établissement";"PR";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";1
"0212198A";"Grand établissement";"PR";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";2
"0212198A";"Grand établissement";"PR";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";3
"0250082D";"Institut ou école extérieur aux universités";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";4
"0250082D";"Institut ou école extérieur aux universités";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";1
"0250082D";"Institut ou école extérieur aux universités";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";4
"0250082D";"Institut ou école extérieur aux universités";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0250082D";"Institut ou école extérieur aux universités";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0250082D";"Institut ou école extérieur aux universités";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";5
"0250082D";"Institut ou école extérieur aux universités";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";1
"0250082D";"Institut ou école extérieur aux universités";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";1
"0250082D";"Institut ou école extérieur aux universités";"PR";28;"28-Milieux denses et matériaux";"Physique";"Sciences";4
"0250082D";"Institut ou école extérieur aux universités";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";4
"0250082D";"Institut ou école extérieur aux universités";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";3
"0250082D";"Institut ou école extérieur aux universités";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";6
"0251215K";"Université";"MCF";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";17
"0251215K";"Université";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";13
"0251215K";"Université";"MCF";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";4
"0251215K";"Université";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";1
"0251215K";"Université";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";15
"0251215K";"Université";"MCF";6;"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";15
"0251215K";"Université";"MCF";7;"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";17
"0251215K";"Université";"MCF";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";5
"0251215K";"Université";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";7
"0251215K";"Université";"MCF";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";2
"0251215K";"Université";"MCF";11;"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";18
"0251215K";"Université";"MCF";12;"12-Etudes germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";8
"0251215K";"Université";"MCF";13;"13-Etudes slaves et baltes";"Langues et littératures";"Lettres et sciences humaines";2
"0251215K";"Université";"MCF";14;"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";8
"0251215K";"Université";"MCF";16;"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";19
"0251215K";"Université";"MCF";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";3
"0251215K";"Université";"MCF";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";5
"0251215K";"Université";"MCF";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";13
"0251215K";"Université";"MCF";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";9
"0251215K";"Université";"MCF";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";11
"0251215K";"Université";"MCF";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";11
"0251215K";"Université";"MCF";24;"24-Aménagement de l'espace, urbanisme";"Sciences humaines";"Lettres et sciences humaines";6
"0251215K";"Université";"MCF";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";16
"0251215K";"Université";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";18
"0251215K";"Université";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";43
"0251215K";"Université";"MCF";28;"28-Milieux denses et matériaux";"Physique";"Sciences";1
"0251215K";"Université";"MCF";29;"29-Constituants élémentaires";"Physique";"Sciences";4
"0251215K";"Université";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";10
"0251215K";"Université";"MCF";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";8
"0251215K";"Université";"MCF";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";10
"0251215K";"Université";"MCF";33;"33-Chimie des matériaux";"Chimie";"Sciences";11
"0251215K";"Université";"MCF";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";2
"0251215K";"Université";"MCF";35;"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";4
"0251215K";"Université";"MCF";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";11
"0251215K";"Université";"MCF";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";2
"0251215K";"Université";"MCF";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";2
"0251215K";"Université";"MCF";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";4
"0251215K";"Université";"MCF";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";5
"0251215K";"Université";"MCF";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";1
"0251215K";"Université";"MCF";49;"49-Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation";"Médecine";"Médecine";4
"0251215K";"Université";"MCF";50;"50-Pathologie ostéo-articulaire, dermatologie et chirurgie plastique";"Médecine";"Médecine";3
"0251215K";"Université";"MCF";54;"54-Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction";"Médecine";"Médecine";1
"0251215K";"Université";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";20
"0251215K";"Université";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";12
"0251215K";"Université";"MCF";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";12
"0251215K";"Université";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";20
"0251215K";"Université";"MCF";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";7
"0251215K";"Université";"MCF";65;"65-Biologie cellulaire";"Biologie et biochimie, neurosciences";"Sciences";3
"0251215K";"Université";"MCF";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";11
"0251215K";"Université";"MCF";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";11
"0251215K";"Université";"MCF";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";3
"0251215K";"Université";"MCF";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";4
"0251215K";"Université";"MCF";70;"70-Sciences de l'éducation et de la formation";"Pluridisciplinaire";"Lettres et sciences humaines";4
"0251215K";"Université";"MCF";71;"71-Sciences de l'information et de la communication";"Pluridisciplinaire";"Lettres et sciences humaines";11
"0251215K";"Université";"MCF";74;"74-Sciences et techniques des activités physiques et sportives";"Pluridisciplinaire";"Lettres et sciences humaines";16
"0251215K";"Université";"MCF";80;"80-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(bi-appartenants)";"Pharmacie";1
"0251215K";"Université";"MCF";81;"81-Sciences du médicament et des autres produits de santé";"Pharmacie(bi-appartenants)";"Pharmacie";2
"0251215K";"Université";"MCF";82;"82-Sciences biologiques, fondamentales et cliniques";"Pharmacie(bi-appartenants)";"Pharmacie";2
"0251215K";"Université";"MCF";85;"85-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(mono-appartenants)";"Pharmacie";6
"0251215K";"Université";"MCF";86;"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";6
"0251215K";"Université";"MCF";87;"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";3
"0251215K";"Université";"PR";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";1
"0251215K";"Université";"PR";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";4
"0251215K";"Université";"PR";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";4
"0251215K";"Université";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";8
"0251215K";"Université";"PR";6;"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";3
"0251215K";"Université";"PR";7;"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";5
"0251215K";"Université";"PR";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";4
"0251215K";"Université";"PR";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";4
"0251215K";"Université";"PR";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";2
"0251215K";"Université";"PR";11;"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";1
"0251215K";"Université";"PR";14;"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";4
"0251215K";"Université";"PR";16;"16-Psychologie et ergonomie";"Sciences humaines";"Lettres et sciences humaines";7
"0251215K";"Université";"PR";17;"17-Philosophie";"Sciences humaines";"Lettres et sciences humaines";3
"0251215K";"Université";"PR";18;"18-Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art";"Sciences humaines";"Lettres et sciences humaines";1
"0251215K";"Université";"PR";19;"19-Sociologie, démographie";"Sciences humaines";"Lettres et sciences humaines";5
"0251215K";"Université";"PR";20;"20-Ethnologie, préhistoire, anthropologie biologique";"Sciences humaines";"Lettres et sciences humaines";1
"0251215K";"Université";"PR";21;"21-Histoire, civilisations, archéologie et art des mondes anciens et médiévaux";"Sciences humaines";"Lettres et sciences humaines";5
"0251215K";"Université";"PR";22;"22-Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique";"Sciences humaines";"Lettres et sciences humaines";5
"0251215K";"Université";"PR";23;"23-Géographie physique, humaine, économique et régionale";"Sciences humaines";"Lettres et sciences humaines";3
"0251215K";"Université";"PR";25;"25-Mathématiques";"Mathématiques et informatique";"Sciences";7
"0251215K";"Université";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";8
"0251215K";"Université";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";12
"0251215K";"Université";"PR";29;"29-Constituants élémentaires";"Physique";"Sciences";1
"0251215K";"Université";"PR";30;"30-Milieux dilués et optique";"Physique";"Sciences";14
"0251215K";"Université";"PR";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";4
"0251215K";"Université";"PR";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";4
"0251215K";"Université";"PR";33;"33-Chimie des matériaux";"Chimie";"Sciences";1
"0251215K";"Université";"PR";34;"34-Astronomie, astrophysique";"Sciences de la terre";"Sciences";2
"0251215K";"Université";"PR";35;"35-Structure et évolution de la terre et des autres planètes";"Sciences de la terre";"Sciences";1
"0251215K";"Université";"PR";36;"36-Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère";"Sciences de la terre";"Sciences";5
"0251215K";"Université";"PR";42;"42-Morphologie et morphogenèse";"Médecine";"Médecine";4
"0251215K";"Université";"PR";43;"43-Biophysique et imagerie Médecine";"Médecine";"Médecine";4
"0251215K";"Université";"PR";44;"44-Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition";"Médecine";"Médecine";2
"0251215K";"Université";"PR";45;"45-Microbiologie, maladies transmissibles et hygiène";"Médecine";"Médecine";5
"0251215K";"Université";"PR";46;"46-Santé publique, environnement et société";"Médecine";"Médecine";4
"0251215K";"Université";"PR";47;"47-Cancérologie, génétique, hématologie, immunologie";"Médecine";"Médecine";6
"0251215K";"Université";"PR";48;"48-Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique";"Médecine";"Médecine";7
"0251215K";"Université";"PR";49;"49-Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation";"Médecine";"Médecine";6
"0251215K";"Université";"PR";50;"50-Pathologie ostéo-articulaire, dermatologie et chirurgie plastique";"Médecine";"Médecine";6
"0251215K";"Université";"PR";51;"51-Pathologie cardiorespiratoire et vasculaire";"Médecine";"Médecine";7
"0251215K";"Université";"PR";52;"52-Maladies des appareils digestif et urinaire";"Médecine";"Médecine";6
"0251215K";"Université";"PR";53;"53-Médecine interne, gériatrie et chirurgie générale";"Médecine";"Médecine";2
"0251215K";"Université";"PR";54;"54-Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction";"Médecine";"Médecine";6
"0251215K";"Université";"PR";55;"55-Pathologie de la tête et du cou";"Médecine";"Médecine";3
"0251215K";"Université";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";9
"0251215K";"Université";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";3
"0251215K";"Université";"PR";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";4
"0251215K";"Université";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";10
"0251215K";"Université";"PR";64;"64-Biochimie et biologie moléculaire";"Biologie et biochimie, neurosciences";"Sciences";2
"0251215K";"Université";"PR";66;"66-Physiologie";"Biologie et biochimie, neurosciences";"Sciences";1
"0251215K";"Université";"PR";67;"67-Biologie des populations et écologie";"Biologie et biochimie, neurosciences";"Sciences";4
"0251215K";"Université";"PR";68;"68-Biologie des organismes";"Biologie et biochimie, neurosciences";"Sciences";1
"0251215K";"Université";"PR";69;"69-Neurosciences";"Biologie et biochimie, neurosciences";"Sciences";1
"0251215K";"Université";"PR";70;"70-Sciences de l'éducation et de la formation";"Pluridisciplinaire";"Lettres et sciences humaines";1
"0251215K";"Université";"PR";71;"71-Sciences de l'information et de la communication";"Pluridisciplinaire";"Lettres et sciences humaines";4
"0251215K";"Université";"PR";74;"74-Sciences et techniques des activités physiques et sportives";"Pluridisciplinaire";"Lettres et sciences humaines";3
"0251215K";"Université";"PR";80;"80-Sciences physico-chimiques et ingénierie appliquée à la santé";"Pharmacie(bi-appartenants)";"Pharmacie";1
"0251215K";"Université";"PR";81;"81-Sciences du médicament et des autres produits de santé";"Pharmacie(bi-appartenants)";"Pharmacie";2
"0251215K";"Université";"PR";82;"82-Sciences biologiques, fondamentales et cliniques";"Pharmacie(bi-appartenants)";"Pharmacie";5
"0251215K";"Université";"PR";86;"86-Sciences du médicament et des autres produits de santé";"Pharmacie(mono-appartenants)";"Pharmacie";4
"0251215K";"Université";"PR";87;"87-Sciences biologiques, fondamentales et cliniques";"Pharmacie(mono-appartenants)";"Pharmacie";1
"0290119X";"École nationale supérieure d'ingénieurs";"MCF";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";2
"0290119X";"École nationale supérieure d'ingénieurs";"MCF";27;"27-Informatique";"Mathématiques et informatique";"Sciences";7
"0290119X";"École nationale supérieure d'ingénieurs";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";1
"0290119X";"École nationale supérieure d'ingénieurs";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";4
"0290119X";"École nationale supérieure d'ingénieurs";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";3
"0290119X";"École nationale supérieure d'ingénieurs";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0290119X";"École nationale supérieure d'ingénieurs";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";4
"0290119X";"École nationale supérieure d'ingénieurs";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";1
"0290119X";"École nationale supérieure d'ingénieurs";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";1
"0290119X";"École nationale supérieure d'ingénieurs";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";3
"0290346U";"Université";"MCF";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";1
"0290346U";"Université";"MCF";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";17
"0290346U";"Université";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";14
"0290346U";"Université";"MCF";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";2
"0290346U";"Université";"MCF";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";18
"0290346U";"Université";"MCF";6;"6-Sciences de gestion et du management";"Sciences économiques et de gestion";"Droit, économie et gestion";24
"0290346U";"Université";"MCF";7;"7-Sciences du langage";"Langues et littératures";"Lettres et sciences humaines";3
"0290346U";"Université";"MCF";8;"8-Langues et littératures anciennes";"Langues et littératures";"Lettres et sciences humaines";2
"0290346U";"Université";"MCF";9;"9-Langue et littérature française";"Langues et littératures";"Lettres et sciences humaines";5
"0290346U";"Université";"MCF";10;"10-Littératures comparées";"Langues et littératures";"Lettres et sciences humaines";1
"0290346U";"Université";"MCF";11;"11-Etudes anglophones";"Langues et littératures";"Lettres et sciences humaines";14
"0290346U";"Université";"MCF";12;"12-Etudes germaniques et scandinaves";"Langues et littératures";"Lettres et sciences humaines";3
"0290346U";"Université";"MCF";14;"14-Etudes romanes";"Langues et littératures";"Lettres et sciences humaines";6
"0290346U";"Université";"MCF";15;"15-Langues, littératures et cultures africaines, asiatiques et d'autres aires";"Langues et littératures";"Lettres et sciences humaines";1
